,2mem_BtCv_12pt5hr-2,2mem_BtCv_12pt5hr-3,2mem_BtCv_12pt5hr-4,2mem_BtCv_25hr-2,2mem_BtCv_25hr-3,2mem_BtCv_25hr-4,2mem_BtCv_30hr-2,2mem_BtCv_30hr-3,2mem_BtCv_30hr-4,2mem_BtCv_35hr-2,2mem_BtCv_35hr-3,2mem_BtCv_35hr-4,2mem_BtCv_40hr-2,2mem_BtCv_40hr-3,2mem_BtCv_40hr-4,2mem_BtCv_45hr-2,2mem_BtCv_45hr-3,2mem_BtCv_45hr-4,2mem_BtPs_12pt5hr-2,2mem_BtPs_12pt5hr-3,2mem_BtPs_12pt5hr-4,2mem_BtPs_25hr-2,2mem_BtPs_25hr-3,2mem_BtPs_25hr-4,2mem_BtPs_30hr-2,2mem_BtPs_30hr-3,2mem_BtPs_30hr-4,2mem_BtPs_35hr-2,2mem_BtPs_35hr-3,2mem_BtPs_35hr-4,2mem_BtPs_40hr-2,2mem_BtPs_40hr-3,2mem_BtPs_40hr-4,2mem_BtPs_45hr-2,2mem_BtPs_45hr-3,2mem_BtPs_45hr-4,2mem_CvPs_12pt5hr-2,2mem_CvPs_12pt5hr-3,2mem_CvPs_12pt5hr-4,2mem_CvPs_25hr-2,2mem_CvPs_25hr-3,2mem_CvPs_25hr-4,2mem_CvPs_30hr-2,2mem_CvPs_30hr-3,2mem_CvPs_30hr-4,2mem_CvPs_35hr-1,2mem_CvPs_35hr-2,2mem_CvPs_35hr-3,2mem_CvPs_35hr-4,2mem_CvPs_40hr-2,2mem_CvPs_40hr-3,2mem_CvPs_40hr-4,2mem_CvPs_45hr-2,2mem_CvPs_45hr-3,2mem_CvPs_45hr-4,3mem_Full_12pt5hr-1,3mem_Full_12pt5hr-2,3mem_Full_12pt5hr-3,3mem_Full_12pt5hr-4,3mem_Full_25hr-2,3mem_Full_25hr-3,3mem_Full_25hr-4,3mem_Full_30hr-2,3mem_Full_30hr-3,3mem_Full_30hr-4,3mem_Full_35hr-2,3mem_Full_35hr-3,3mem_Full_35hr-4,3mem_Full_40hr-2,3mem_Full_40hr-3,3mem_Full_40hr-4,3mem_Full_45hr-2,3mem_Full_45hr-3,3mem_Full_45hr-4
Label,BtCv_1,BtCv_1,BtCv_1,BtCv_2,BtCv_2,BtCv_2,BtCv_3,BtCv_3,BtCv_3,BtCv_4,BtCv_4,BtCv_4,BtCv_5,BtCv_5,BtCv_5,BtCv_6,BtCv_6,BtCv_6,BtPs_1,BtPs_1,BtPs_1,BtPs_2,BtPs_2,BtPs_2,BtPs_3,BtPs_3,BtPs_3,BtPs_4,BtPs_4,BtPs_4,BtPs_5,BtPs_5,BtPs_5,BtPs_6,BtPs_6,BtPs_6,CvPs_1,CvPs_1,CvPs_1,CvPs_2,CvPs_2,CvPs_2,CvPs_3,CvPs_3,CvPs_3,CvPs_4,CvPs_4,CvPs_4,CvPs_4,CvPs_5,CvPs_5,CvPs_5,CvPs_6,CvPs_6,CvPs_6,Full_1,Full_1,Full_1,Full_1,Full_2,Full_2,Full_2,Full_3,Full_3,Full_3,Full_4,Full_4,Full_4,Full_5,Full_5,Full_5,Full_6,Full_6,Full_6
0.336010655/215.0323248,32.99897,44.77762,34.90023,34.86486,43.42314,33.07575,38.87709,43.08952,36.97878,31.33702,42.86067,34.5103,37.44227,43.29685,33.73283,36.00707,41.6613,33.71553,37.07589,43.9577,36.05694,35.9498,43.93963,33.88384,36.81999,44.23653,29.85635,31.47145,36.90914,29.90863,28.65172,37.64018,28.9475,35.19366,24.82579,28.58485,46.14799,47.75349,37.6515,38.33527,38.91423,32.21326,38.11175,40.15843,32.60545,26.5434,39.16641,38.32306,35.59513,33.70391,38.59585,33.37526,27.73103,30.38894,30.93506,39.58085,30.01876,34.10691,30.24947,31.58686,37.03931,37.14692,31.58298,32.52796,35.01213,31.42018,38.87327,32.32599,17.68768,28.18357,29.85251,34.62664,35.26587,30.08088
0.33606146/217.0291693,22.78321,31.21224,23.61258,24.70975,29.5841,22.97767,27.11839,30.0058,24.77611,21.88574,31.78994,24.01187,25.18827,29.347,23.42602,25.09355,29.05312,23.44319,26.49606,30.61396,24.74737,25.02076,30.60843,23.54494,25.47039,30.50221,20.91189,21.88495,25.74975,20.78235,19.75625,26.26168,20.17843,24.56575,17.29386,19.52034,32.14344,33.31183,26.08074,26.73168,27.06731,22.69004,26.56498,27.95075,22.66096,18.3329,27.26659,27.87713,24.77446,23.51853,26.86923,23.218,19.31994,21.51752,21.536,27.57056,21.11189,23.80237,21.46046,22.17306,25.78011,25.81927,21.82982,22.46376,24.34428,21.76663,27.07716,22.44114,12.25006,19.65481,20.7723,24.102,24.57929,20.93324
0.34510363/376.100727,15.221298,29.992444,18.872858,21.519608,32.615538,18.637121,26.369061,31.552417,21.419144,17.553591,33.080029,20.80015,24.934955,32.997861,20.223127,22.669277,33.788615,20.036413,21.03605,28.651534,23.543948,21.03158,28.823227,20.180157,22.638914,28.888158,15.945191,14.333756,27.866021,17.890638,12.21118,28.439555,13.830485,20.16849,10.553553,14.855834,31.294236,31.114872,25.213766,20.857515,29.935049,20.790767,22.443792,35.572854,21.354475,12.010031,23.108223,28.058398,26.754689,16.820366,33.791711,22.949538,19.351279,31.290008,25.539426,34.401401,13.028048,26.355219,15.607915,13.474707,32.666239,23.217557,18.566891,26.690645,20.79825,17.574601,39.553961,17.660068,5.755316,22.346885,16.367318,20.11963,27.225432,19.359155
3.026907178/487.2190999,25.8968637,24.1553143,24.0082857,34.0371092,28.7404635,25.8382068,37.3435895,31.7286231,31.4579356,36.3536826,34.6683186,33.1768437,41.179034,36.9759383,36.4446974,42.0759294,38.235917,39.6701465,1.3478677,1.7362323,11.6174591,1.389557,1.0611285,13.4156484,2.259769,2.4815324,14.705725,1.7851489,2.8409104,15.267506,2.4205874,1.4133585,18.0283443,2.2497557,1.4151934,17.0707276,23.9764587,27.4399406,24.5395816,32.4230547,31.0908561,31.2642594,34.5106596,34.7039756,33.1331908,23.1421086,37.3765113,3.4677974,35.0539421,38.2937826,44.3188034,37.5954982,44.2895892,45.2944533,39.9279215,21.2468377,23.2182938,33.7528799,27.4399774,31.1006572,31.4666301,30.8227915,36.0034548,32.9654723,33.4342041,36.4371556,38.5258518,34.7014142,41.1896405,36.3672301,37.2575188,41.7808106,40.4854273,38.493148
0.345001121/378.09744,10.374326,20.390873,12.836822,14.597685,22.084206,12.607895,17.937054,21.311097,14.41717,11.772632,22.426686,14.072248,16.962323,22.53224,13.679073,15.269594,22.94483,13.582432,14.310353,19.472941,15.860822,14.266346,19.591612,13.515441,15.299203,19.486326,10.855025,9.814545,18.959635,12.101018,8.272426,19.287592,9.309566,13.54233,7.13525,10.045336,21.178002,21.126548,17.291319,14.138873,20.288339,14.086019,15.193214,24.140617,14.466615,7.861605,15.631336,18.94993,18.151611,11.258111,22.898593,15.463447,13.075492,21.233743,17.36162,23.295137,8.905261,17.948162,10.498407,9.022954,22.275422,15.677585,12.515928,18.093122,14.022055,11.779081,26.919796,11.979943,3.724903,15.185955,11.001559,13.614458,18.38358,13.112671
5.191131245/426.9670562,13.64624,13.55616,13.24574,20.799,20.7535,13.27343,21.66766,21.87054,14.23646,21.74119,22.86109,14.01545,24.70949,23.24479,14.6566,25.59276,23.39408,15.15477,14.31218,13.3246,13.18542,22.32615,22.6488,13.67014,24.4654,22.65606,14.00924,24.23051,22.76189,14.07908,23.97778,24.72841,14.69971,24.4201,16.22694,14.63923,13.58227,12.78035,13.36468,21.18269,20.33248,14.09923,21.13698,20.9486,14.66835,19.46843,20.79343,13.6473,15.15853,19.83852,22.07505,14.53891,21.5688,22.13482,15.60736,14.98954,13.98116,14.06915,12.93301,22.22399,14.15727,14.07793,23.2423,13.64484,14.38302,23.30285,14.05918,14.20877,25.56043,13.40771,14.21382,26.37101,14.72152,14.50504
3.274579021/529.175227,17.9636753,18.8896606,18.3853216,27.7978293,25.5851943,27.2913181,33.746785,30.2891319,32.3751282,34.5724704,36.6753061,35.0331938,39.658141,37.8014893,41.4556136,43.1600911,40.4616485,40.7205172,0.3070616,1.391792,13.6111377,0.3021032,1.0136961,19.1574516,2.2561064,2.3997864,21.1417576,1.2769024,3.0195153,23.0810814,1.6756326,1.3428538,25.6697533,2.2502208,1.2235435,26.0065611,19.4389634,20.6805927,19.9866372,28.7915137,28.2469951,28.0566206,31.173005,32.8168597,30.4309461,35.678553,37.7173405,4.7691271,34.4973128,37.9088699,44.5973059,37.0062843,40.6435227,43.9791736,39.7976665,29.825996,19.453365,25.6703114,22.8160752,29.4249668,31.7430952,31.6406305,32.331124,30.9826875,34.8420369,33.9356522,39.2093339,36.6190568,39.6764707,35.2293416,38.7840519,41.3131136,39.0736465,40.2302672
0.334892409/213.0167777,7.319709,10.959138,8.353485,7.884872,11.073495,7.712096,9.206401,10.813448,9.018085,6.290951,10.86156,8.231797,7.946989,9.885488,7.974852,8.076767,9.985851,8.119615,9.148091,11.912008,8.87243,8.156937,11.285432,7.821841,8.347923,11.871858,6.802076,6.909755,7.067296,6.426488,6.565293,8.280842,6.186458,7.913601,5.052753,6.041647,11.990637,11.996287,9.300735,8.991902,9.362784,7.230821,8.745769,10.410638,7.447797,5.515504,9.801349,8.741886,9.283411,7.180643,8.352377,7.781596,5.03322,6.08657,7.319427,8.244575,6.544612,7.388361,6.515597,6.785181,8.334622,9.205788,5.857996,6.709505,8.513814,6.175221,6.587937,6.871856,8.709483,5.076787,6.479967,7.128821,8.549018,6.039397
0.340415073/179.0557022,7.899673,11.713224,7.70312,8.470444,11.107152,8.004866,10.156046,11.525247,8.478663,7.509806,11.412265,7.820637,9.202895,10.521158,7.584788,8.954375,10.840856,7.685908,9.663469,11.813698,8.163893,9.450642,11.96572,7.645254,9.341736,11.129278,6.87917,8.229287,9.132682,6.487467,6.36045,9.344768,6.215919,8.619974,5.995875,6.101831,12.268161,12.861418,8.498517,10.211258,10.13636,7.31803,9.656012,10.791645,7.361506,6.027927,9.829684,9.894872,8.814635,8.193412,9.077819,7.541284,6.792563,6.816842,6.797647,9.302126,7.701992,8.807091,6.786776,8.359921,10.088712,8.794198,7.610233,8.052722,8.513207,7.343068,9.255643,7.538837,3.840339,7.017391,7.010247,8.851626,9.300418,7.233834
